species_scientific_name,species_common_name,taxonomic_group,family,latitude,longitude,country,state_province,event_date,year,month,data_source,observation_type,occurrence_id,india_role,migration_season,location_type,seasonal_density,priority_group,iucn_red_list_status
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1720454868,72.7911400795,India,Maharashtra (Coastal),2023-06-05,2023.0,6.0,iNaturalist,Scientific Record,165756743,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0549467957,72.819968462,India,Maharashtra (Coastal),2023-05-10,2023.0,5.0,iNaturalist,Scientific Record,164405321,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9784133333,72.8046583333,India,Maharashtra (Coastal),2023-05-08,2023.0,5.0,iNaturalist,Scientific Record,162462458,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.95867,72.79666,India,Maharashtra (Coastal),2023-05-09,2023.0,5.0,iNaturalist,Scientific Record,160690522,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.069875,72.8229616667,India,Maharashtra (Coastal),2023-01-19,2023.0,1.0,iNaturalist,Scientific Record,146892119,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9574116667,72.7949666667,India,Maharashtra (Coastal),2022-11-25,2022.0,11.0,iNaturalist,Scientific Record,143898527,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.07342,72.8180866667,India,Maharashtra (Coastal),2022-11-23,2022.0,11.0,iNaturalist,Scientific Record,143460214,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9386460192,72.7521642276,India,Maharashtra (Coastal),2022-10-26,2022.0,10.0,iNaturalist,Scientific Record,141435465,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9778360613,72.810481824,India,Maharashtra (Coastal),2022-06-01,2022.0,6.0,iNaturalist,Scientific Record,120056957,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8334427962,72.9611551159,India,Maharashtra (Coastal),2022-04-29,2022.0,4.0,iNaturalist,Scientific Record,113820668,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0750200997,72.8172797,India,Maharashtra (Coastal),2021-12-04,2021.0,12.0,iNaturalist,Scientific Record,102600268,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0741985104,72.8198158308,India,Maharashtra (Coastal),2021-10-22,2021.0,10.0,iNaturalist,Scientific Record,100296027,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.38788,72.7608325,India,Maharashtra (Coastal),2020-03-10,2020.0,3.0,iNaturalist,Scientific Record,94193104,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1681521694,72.7812309936,India,Maharashtra (Coastal),2021-03-31,2021.0,3.0,iNaturalist,Scientific Record,87687036,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8168053823,72.9423443519,India,Maharashtra (Coastal),2020-12-14,2020.0,12.0,iNaturalist,Scientific Record,66670890,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9828176997,72.8058481,India,Maharashtra (Coastal),2020-12-14,2020.0,12.0,iNaturalist,Scientific Record,66604438,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9813848,72.807428,India,Maharashtra (Coastal),2020-12-01,2020.0,12.0,iNaturalist,Scientific Record,65941769,Migratory/Feeding,Winter (Peak),Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0794055,72.80967,India,Maharashtra (Coastal),2020-11-15,2020.0,11.0,iNaturalist,Scientific Record,64937039,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0799111667,72.8091133333,India,Maharashtra (Coastal),2020-11-15,2020.0,11.0,iNaturalist,Scientific Record,64935779,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.8375186193,72.8327310202,India,Maharashtra (Coastal),2020-10-18,2020.0,10.0,iNaturalist,Scientific Record,63102656,Migratory/Feeding,Autumn/Passage,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0956704497,72.94336911,India,Maharashtra (Coastal),2020-09-17,2020.0,9.0,iNaturalist,Scientific Record,60799670,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),2020-03-09,2020.0,3.0,iNaturalist,Scientific Record,42224758,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),2020-02-21,2020.0,2.0,iNaturalist,Scientific Record,42153970,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9827617085,72.8089646995,India,Maharashtra (Coastal),2020-02-09,2020.0,2.0,iNaturalist,Scientific Record,39661332,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0474793634,72.8172208232,India,Maharashtra (Coastal),2019-04-22,2019.0,4.0,iNaturalist,Scientific Record,38594062,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.370734,72.761974,India,Maharashtra (Coastal),2019-11-26,2019.0,11.0,iNaturalist,Scientific Record,37676631,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.1380243472,72.9974266154,India,Maharashtra (Coastal),2019-11-26,2019.0,11.0,iNaturalist,Scientific Record,36189858,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0721240789,72.8213752895,India,Maharashtra (Coastal),2019-06-05,2019.0,6.0,iNaturalist,Scientific Record,26603981,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0497523249,72.8192187846,India,Maharashtra (Coastal),2019-05-05,2019.0,5.0,iNaturalist,Scientific Record,24885997,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0029064886,72.8466902862,India,Maharashtra (Coastal),2019-03-24,2019.0,3.0,iNaturalist,Scientific Record,21601375,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0499992371,72.818572998,India,Maharashtra (Coastal),2019-02-19,2019.0,2.0,iNaturalist,Scientific Record,20961995,Migratory/Feeding,Winter (Peak),Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,19.0478599,72.8583788,India,Maharashtra (Coastal),2018-06-16,2018.0,6.0,iNaturalist,Scientific Record,13472898,Migratory/Feeding,Monsoon/Breeding,Marine/Coastal,High,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9837169552,72.8060826659,India,Maharashtra (Coastal),2018-03-16,2018.0,3.0,iNaturalist,Scientific Record,12976812,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Pristis pristis,Largetooth Sawfish,Pisces,Checklist Verified,18.9823245061,72.8081654012,India,Maharashtra (Coastal),2018-04-18,2018.0,4.0,iNaturalist,Scientific Record,12325050,Migratory/Feeding,Spring/Summer,Marine/Coastal,Moderate,,CR
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8925848059,80.3340790444,India,Coastal India / Marine,2025-12-20,2025.0,12.0,iNaturalist,Scientific Record,331409060,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0587222052,80.3763957632,India,Coastal India / Marine,2025-12-18,2025.0,12.0,iNaturalist,Scientific Record,331193748,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.0169096251,80.3980304399,India,Coastal India / Marine,2025-12-18,2025.0,12.0,iNaturalist,Scientific Record,331193529,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,13.1749131315,80.2768063879,India,Coastal India / Marine,2025-12-16,2025.0,12.0,iNaturalist,Scientific Record,330958563,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.6172409306,83.3227774286,India,Coastal India / Marine,2025-12-15,2025.0,12.0,iNaturalist,Scientific Record,330839297,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.7488567487,80.287819141,India,Coastal India / Marine,2025-12-14,2025.0,12.0,iNaturalist,Scientific Record,330713342,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.6343099269,80.2957803846,India,Coastal India / Marine,2025-12-14,2025.0,12.0,iNaturalist,Scientific Record,330713333,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9358609508,80.2671151029,India,Coastal India / Marine,2025-12-13,2025.0,12.0,iNaturalist,Scientific Record,330596091,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.8303481466,80.2956130656,India,Coastal India / Marine,2025-12-13,2025.0,12.0,iNaturalist,Scientific Record,330573893,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.9230799718,80.3478101832,India,Coastal India / Marine,2025-12-13,2025.0,12.0,iNaturalist,Scientific Record,330561517,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.7864886729,83.3825502245,India,Coastal India / Marine,2025-12-12,2025.0,12.0,iNaturalist,Scientific Record,330442682,Migratory/Feeding,Winter (Peak),Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.7923896396,80.3170855844,India,Coastal India / Marine,2025-11-19,2025.0,11.0,iNaturalist,Scientific Record,327258715,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,12.0116954098,93.1837858237,India,Coastal India / Marine,2025-11-12,2025.0,11.0,iNaturalist,Scientific Record,326365102,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.9293006442,93.07415576,India,Coastal India / Marine,2024-03-25,2024.0,3.0,iNaturalist,Scientific Record,325478333,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,17.4991782583,83.0781797116,India,Coastal India / Marine,2024-02-05,2024.0,2.0,iNaturalist,Scientific Record,325462980,Migratory/Feeding,Winter (Peak),Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,8.2856037843,76.9833680745,India,Tamil Nadu / Kerala,2025-10-03,2025.0,10.0,iNaturalist,Scientific Record,322705440,Migratory/Feeding,Autumn/Passage,Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,11.6192088103,92.7924129416,India,Coastal India / Marine,2020-06-27,2020.0,6.0,iNaturalist,Scientific Record,322372320,Migratory/Feeding,Monsoon/Breeding,Terrestrial,High,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.2530784105,79.1329313098,India,Tamil Nadu / Kerala,2023-03-19,2023.0,3.0,iNaturalist,Scientific Record,321806053,Migratory/Feeding,Spring/Summer,Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.0134395475,76.5781281942,India,Tamil Nadu / Kerala,2025-09-30,2025.0,9.0,iNaturalist,Scientific Record,317706663,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.1456118915,76.5003111224,India,Tamil Nadu / Kerala,2025-09-30,2025.0,9.0,iNaturalist,Scientific Record,317686828,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,,VU
Caretta caretta,Loggerhead Sea Turtle,Reptilia,Checklist Verified,9.0455095183,76.5903889847,India,Tamil Nadu / Kerala,2025-09-26,2025.0,9.0,iNaturalist,Scientific Record,316693897,Migratory/Feeding,Monsoon/Breeding,Terrestrial,Moderate,,VU
