grid_id,lon,lat,obs_density,species_richness,threat_mean,migration_ratio
0_0,-9.358721178970121,5.04228914584197,0.0,0.0,0.0,0.0
0_1,-9.358721178970121,5.489546542159399,0.0,0.0,0.0,0.0
0_2,-9.35872117897012,5.936468661662051,0.0,0.0,0.0,0.0
0_3,-9.358721178970121,6.383028585126525,0.0,0.0,0.0,0.0
0_4,-9.358721178970121,6.829199503176718,0.0,0.0,0.0,0.0
0_5,-9.35872117897012,7.274954724176191,0.0,0.0,0.0,0.0
0_6,-9.35872117897012,7.720267682034174,0.0,0.0,0.0,0.0
0_7,-9.358721178970121,8.165111943919818,0.0,0.0,0.0,0.0
0_8,-9.358721178970121,8.609461217879371,0.0,0.0,0.0,0.0
0_9,-9.35872117897012,9.05328936035111,0.0,0.0,0.0,0.0
0_10,-9.358721178970121,9.496570383572958,0.0,0.0,0.0,0.0
0_11,-9.358721178970121,9.939278462877956,0.0,0.0,0.0,0.0
0_12,-9.358721178970121,10.38138794387276,0.0,0.0,0.0,0.0
0_13,-9.35872117897012,10.822873349494632,0.0,0.0,0.0,0.0
0_14,-9.35872117897012,11.263709386942466,0.0,0.0,0.0,0.0
0_15,-9.35872117897012,11.703870954477551,0.0,0.0,0.0,0.0
0_16,-9.358721178970121,12.14333314809004,0.0,0.0,0.0,0.0
0_17,-9.35872117897012,12.582071268027068,0.0,0.0,0.0,0.0
0_18,-9.35872117897012,13.02006082517893,0.0,0.0,0.0,0.0
0_19,-9.35872117897012,13.457277547319574,0.0,0.0,0.0,0.0
0_20,-9.358721178970121,13.893697385198118,0.0,0.0,0.0,0.0
0_21,-9.358721178970121,14.329296518478156,0.0,0.0,0.0,0.0
0_22,-9.358721178970123,14.764051361521817,0.0,0.0,0.0,0.0
0_23,-9.358721178970121,15.19793856901575,0.0,0.0,0.0,0.0
0_24,-9.358721178970121,15.630935041436375,0.0,0.0,0.0,0.0
0_25,-9.358721178970121,16.063017930351986,0.0,0.0,0.0,0.0
0_26,-9.35872117897012,16.494164643559404,0.0,0.0,0.0,0.0
0_27,-9.358721178970121,16.924352850053154,0.0,0.0,0.0,0.0
0_28,-9.358721178970121,17.353560484825216,0.0,0.0,0.0,0.0
0_29,-9.35872117897012,17.781765753493815,0.0,0.0,0.0,0.0
0_30,-9.358721178970121,18.20894713675958,0.0,0.0,0.0,0.0
0_31,-9.35872117897012,18.63508339468794,0.0,0.0,0.0,0.0
0_32,-9.358721178970121,19.06015357081654,0.0,0.0,0.0,0.0
0_33,-9.358721178970121,19.484136996086804,0.0,0.0,0.0,0.0
0_34,-9.358721178970121,19.907013292599004,0.0,0.0,0.0,0.0
0_35,-9.358721178970121,20.328762377190063,0.0,0.0,0.0,0.0
0_36,-9.358721178970121,20.749364464834027,0.0,0.0,0.0,0.0
0_37,-9.35872117897012,21.168800071864805,21.0,2.0,3.0,0.14285714285714285
0_38,-9.35872117897012,21.587050019021284,2.0,1.0,3.0,0.5
0_39,-9.358721178970121,22.004095434314966,22.0,1.0,0.0,0.5
0_40,-9.358721178970121,22.419917755720505,4.0,1.0,0.0,0.5
0_41,-9.358721178970121,22.834498733689607,1.0,1.0,0.0,1.0
0_42,-9.358721178970123,23.247820433489043,0.0,0.0,0.0,0.0
0_43,-9.358721178970121,23.65986523736355,0.0,0.0,0.0,0.0
0_44,-9.358721178970121,24.07061584652468,0.0,0.0,0.0,0.0
0_45,-9.358721178970121,24.480055282966692,0.0,0.0,0.0,0.0
0_46,-9.358721178970121,24.88816689111084,0.0,0.0,0.0,0.0
0_47,-9.358721178970121,25.294934339279475,0.0,0.0,0.0,0.0
0_48,-9.35872117897012,25.700341621001527,0.0,0.0,0.0,0.0
0_49,-9.358721178970121,26.104373056151108,0.0,0.0,0.0,0.0
0_50,-9.35872117897012,26.50701329192104,0.0,0.0,0.0,0.0
0_51,-9.358721178970121,26.908247303633356,0.0,0.0,0.0,0.0
0_52,-9.35872117897012,27.308060395388768,0.0,0.0,0.0,0.0
0_53,-9.358721178970121,27.706438200557347,0.0,0.0,0.0,0.0
0_54,-9.358721178970121,28.103366682112718,0.0,0.0,0.0,0.0
0_55,-9.35872117897012,28.498832132812176,0.0,0.0,0.0,0.0
0_56,-9.358721178970121,28.89282117522523,0.0,0.0,0.0,0.0
0_57,-9.358721178970121,29.28532076161317,0.0,0.0,0.0,0.0
0_58,-9.358721178970121,29.676318173662395,0.0,0.0,0.0,0.0
0_59,-9.358721178970121,30.065801022074105,0.0,0.0,0.0,0.0
0_60,-9.35872117897012,30.453757246013446,0.0,0.0,0.0,0.0
0_61,-9.358721178970121,30.84017511242084,0.0,0.0,0.0,0.0
0_62,-9.358721178970123,31.22504321518852,0.0,0.0,0.0,0.0
0_63,-9.358721178970121,31.60835047420531,0.0,0.0,0.0,0.0
0_64,-9.35872117897012,31.990086134272822,0.0,0.0,0.0,0.0
0_65,-9.358721178970121,32.37023976389608,0.0,0.0,0.0,0.0
0_66,-9.35872117897012,32.74880125395185,0.0,0.0,0.0,0.0
0_67,-9.358721178970121,33.1257608162379,0.0,0.0,0.0,0.0
0_68,-9.358721178970121,33.50110898190637,0.0,0.0,0.0,0.0
0_69,-9.358721178970121,33.87483659978472,0.0,0.0,0.0,0.0
0_70,-9.358721178970121,34.24693483458736,0.0,0.0,0.0,0.0
0_71,-9.358721178970121,34.61739516502144,0.0,0.0,0.0,0.0
0_72,-9.358721178970121,34.98620938179013,0.0,0.0,0.0,0.0
0_73,-9.358721178970121,35.35336958549672,0.0,0.0,0.0,0.0
0_74,-9.35872117897012,35.71886818445298,0.0,0.0,0.0,0.0
0_75,-9.358721178970121,36.082697892395004,0.0,0.0,0.0,0.0
0_76,-9.35872117897012,36.44485172611022,0.0,0.0,0.0,0.0
0_77,-9.358721178970121,36.80532300297854,0.0,0.0,0.0,0.0
0_78,-9.35872117897012,37.164105338431284,0.0,0.0,0.0,0.0
0_79,-9.358721178970121,37.52119264333123,0.0,0.0,0.0,0.0
0_80,-9.35872117897012,37.87657912127693,0.0,0.0,0.0,0.0
0_81,-9.358721178970121,38.23025926583482,0.0,0.0,0.0,0.0
0_82,-9.358721178970121,38.58222785770219,0.0,0.0,0.0,0.0
0_83,-9.358721178970121,38.932479961804674,0.0,0.0,0.0,0.0
0_84,-9.35872117897012,39.28101092433088,0.0,0.0,0.0,0.0
0_85,-9.358721178970121,39.627816369708064,0.0,0.0,0.0,0.0
0_86,-9.358721178970121,39.9728921975214,0.0,0.0,0.0,0.0
0_87,-9.358721178970121,40.31623457938051,0.0,0.0,0.0,0.0
0_88,-9.358721178970121,40.65783995573587,0.0,0.0,0.0,0.0
0_89,-9.358721178970121,40.99770503264856,0.0,0.0,0.0,0.0
0_90,-9.358721178970121,41.33582677851609,0.0,0.0,0.0,0.0
0_91,-9.358721178970121,41.672202420757465,0.0,0.0,0.0,0.0
0_92,-9.35872117897012,42.00682944246016,0.0,0.0,0.0,0.0
0_93,-9.35872117897012,42.33970557899215,0.0,0.0,0.0,0.0
0_94,-9.358721178970123,42.67082881458173,0.0,0.0,0.0,0.0
0_95,-9.35872117897012,43.0001973788677,0.0,0.0,0.0,0.0
0_96,-9.35872117897012,43.32780974342294,0.0,0.0,0.0,0.0
0_97,-9.35872117897012,43.653664618253785,0.0,0.0,0.0,0.0
0_98,-9.358721178970121,43.97776094827796,0.0,0.0,0.0,0.0
0_99,-9.358721178970121,44.30009790978353,0.0,0.0,0.0,0.0
0_100,-9.358721178970121,44.62067490687138,0.0,0.0,0.0,0.0
0_101,-9.358721178970121,44.939491567883756,0.0,0.0,0.0,0.0
0_102,-9.358721178970121,45.256547741820924,0.0,0.0,0.0,0.0
0_103,-9.35872117897012,45.571843494748805,0.0,0.0,0.0,0.0
0_104,-9.358721178970121,45.88537910619925,0.0,0.0,0.0,0.0
