grid_id,obs_density,species_richness,migration_ratio,latitude,longitude
0_37,21,2,0.1428571428571428,22.27898995572114,68.84106782102988
0_38,2,1,0.5,22.69399679781292,68.84106782102988
0_39,22,1,0.5,23.10775037770492,68.84106782102988
0_40,4,1,0.5,23.520232969502963,68.84106782102988
0_41,1,1,1.0,23.931427165645363,68.84106782102988
10_22,6,2,0.8333333333333334,15.916494986432191,73.33264424162749
10_23,2,2,0.5,16.347964961207236,73.33264424162749
10_24,4,2,0.75,16.778483950622768,73.33264424162749
10_25,5,1,0.8,17.208029798219822,73.33264424162749
10_26,4,2,0.25,17.63658061663447,73.33264424162749
10_27,2,1,0.0,18.06411479211288,73.33264424162749
10_28,15,1,0.1333333333333333,18.490610988853064,73.33264424162749
10_29,34,1,0.1176470588235294,18.916048153171918,73.33264424162749
10_30,30,1,0.2666666666666666,19.340405517496713,73.33264424162749
10_31,1,1,1.0,19.76366260418023,73.33264424162749
10_33,12,1,0.5833333333333334,20.606795505313503,73.33264424162749
10_34,1,1,0.0,21.026631845952377,73.33264424162749
10_35,2,1,1.0,21.445288967716728,73.33264424162749
10_37,12,1,0.3333333333333333,22.27898995572114,73.33264424162749
10_38,3,1,0.0,22.69399679781292,73.33264424162749
10_41,2,1,0.0,23.931427165645363,73.33264424162749
10_42,2,1,0.5,24.341315878777266,73.33264424162749
10_44,1,1,1.0,25.157110117667052,73.33264424162749
10_46,1,1,1.0,25.967485451899854,73.33264424162749
10_47,1,1,0.0,26.370601756536594,73.33264424162749
10_5,1,1,1.0,8.458673638182125,73.33264424162749
10_50,1,1,0.0,27.571484572845726,73.33264424162749
10_51,80,1,0.0375,27.968908550971424,73.33264424162749
11_10,1,1,1.0,10.673088880017286,73.78180188368725
11_14,1,1,1.0,12.433243423364331,73.78180188368725
11_20,9,3,0.6666666666666666,15.050792023820641,73.78180188368725
11_21,150,3,0.4733333333333333,15.484096447164378,73.78180188368725
11_22,73,2,0.2191780821917808,15.916494986432191,73.78180188368725
11_23,2,1,0.0,16.347964961207236,73.78180188368725
11_25,3,1,0.6666666666666666,17.208029798219822,73.78180188368725
11_26,4,1,0.5,17.63658061663447,73.78180188368725
11_27,28,1,0.4642857142857143,18.06411479211288,73.78180188368725
11_28,91,1,0.3516483516483517,18.490610988853064,73.78180188368725
11_29,4,1,0.5,18.916048153171918,73.78180188368725
11_30,18,1,0.0555555555555555,19.340405517496713,73.78180188368725
11_31,17,1,0.5882352941176471,19.76366260418023,73.78180188368725
11_32,10,1,0.3,20.18579922913889,73.78180188368725
11_34,2,1,0.0,21.026631845952377,73.78180188368725
11_36,5,1,0.2,21.862747893608542,73.78180188368725
11_37,2,1,0.5,22.27898995572114,73.78180188368725
11_43,11,1,0.4545454545454545,24.749882343452892,73.78180188368725
11_44,3,1,0.3333333333333333,25.157110117667052,73.78180188368725
11_5,1,1,0.0,8.458673638182125,73.78180188368725
11_51,1,1,1.0,27.968908550971424,73.78180188368725
11_7,1,1,0.0,9.34615791751325,73.78180188368725
12_12,3,1,1.0,11.554547978511469,74.23095952574701
12_13,1,1,1.0,11.994253568227144,74.23095952574701
12_16,3,1,1.0,13.308977896137208,74.23095952574701
12_18,6,3,0.5,14.181557513997255,74.23095952574701
12_19,8,2,0.5,14.616604651341389,74.23095952574701
12_20,19,3,0.5789473684210527,15.050792023820641,74.23095952574701
12_21,32,2,0.53125,15.484096447164378,74.23095952574701
12_22,6,1,0.1666666666666666,15.916494986432191,74.23095952574701
12_23,1,1,0.0,16.347964961207236,74.23095952574701
12_25,6,1,0.1666666666666666,17.208029798219822,74.23095952574701
