grid_id,obs_density,species_richness,migration_ratio
18_65,3,1,0.3333333333333333
18_67,6,1,0.6666666666666666
18_68,5,1,0.0
18_69,2,2,1.0
18_7,14,1,0.07142857142857142
18_8,14,1,0.21428571428571427
18_9,70,2,0.35714285714285715
19_1,1,1,0.0
19_11,2,1,1.0
19_12,3,1,0.6666666666666666
19_14,20,1,0.25
19_15,125,1,0.328
19_16,37,1,0.10810810810810811
19_17,10,1,0.5
19_23,2,1,1.0
19_26,1,1,0.0
19_27,2,1,0.5
19_29,1,1,1.0
19_35,3,1,0.0
19_37,3,1,0.0
19_39,13,1,0.6153846153846154
19_4,32,2,0.84375
19_40,3,1,1.0
19_47,2,1,0.5
19_48,1,1,0.0
19_49,96,1,0.14583333333333334
19_5,6,1,0.5
19_50,3,1,0.3333333333333333
19_51,2,1,0.0
19_52,87,1,0.6551724137931034
19_53,42,1,0.2857142857142857
19_57,3,1,0.0
19_58,3,1,1.0
19_59,23,1,0.7391304347826086
19_6,11,1,0.2727272727272727
19_60,9,1,0.5555555555555556
19_62,13,1,0.8461538461538461
19_63,9,1,0.6666666666666666
19_64,1,1,1.0
19_66,32,1,0.4375
19_67,120,2,0.7
19_68,14,1,0.7857142857142857
19_69,5,1,0.8
19_7,10,1,0.4
19_8,16,1,0.0625
19_9,24,1,0.7916666666666666
1_36,1,1,0.0
1_37,7,3,0.42857142857142855
1_38,23,3,0.21739130434782608
1_39,8,1,0.375
1_40,57,2,0.14035087719298245
1_41,3,1,0.0
20_0,1,1,0.0
20_11,15,1,0.26666666666666666
20_12,14,1,0.0
20_13,15,1,0.13333333333333333
20_14,14,1,0.8571428571428571
20_15,176,1,0.2556818181818182
20_16,32,1,0.59375
20_18,1,1,0.0
20_25,8,1,0.125
20_26,5,1,0.0
20_28,1,1,0.0
20_34,1,1,0.0
20_36,1,1,1.0
20_37,1,1,0.0
20_38,6,1,0.5
20_39,2,1,0.0
20_4,7,2,0.0
20_40,1,1,0.0
20_45,1,1,1.0
20_47,1,1,1.0
20_48,9,2,0.7777777777777778
20_49,11,1,0.6363636363636364
20_5,5,1,0.2
20_50,1,1,0.0
20_52,14,1,0.42857142857142855
20_54,1,1,1.0
20_55,3,1,0.0
20_57,42,1,0.5
20_58,3,1,0.3333333333333333
20_6,1,1,0.0
20_60,2,1,0.0
20_62,11,1,0.45454545454545453
20_63,1,1,1.0
20_64,3,1,1.0
20_65,21,2,0.8095238095238095
20_66,24,2,0.375
20_67,101,1,0.6534653465346535
20_68,5,1,0.8
20_7,1,1,0.0
20_9,5,1,0.4
21_12,16,1,0.875
21_13,32,1,0.5
21_14,3,1,1.0
21_15,4,1,0.5
21_16,2,1,0.5
21_17,3,1,0.0
21_21,3,1,0.6666666666666666
21_22,3,1,0.3333333333333333
21_24,4,1,0.0
21_25,16,1,0.125
21_26,18,1,0.16666666666666666
21_28,3,1,0.3333333333333333
21_29,2,1,1.0
21_31,1,1,0.0
21_37,22,1,0.18181818181818182
21_38,18,1,0.2777777777777778
21_48,3,2,0.6666666666666666
21_49,1,1,1.0
21_5,10,3,0.9
21_51,1,1,0.0
21_53,5,2,0.8
21_56,22,1,0.22727272727272727
21_57,50,1,0.6
21_58,5,1,0.6
21_59,5,1,1.0
21_6,9,1,0.4444444444444444
21_62,17,1,0.5882352941176471
21_63,5,2,0.8
21_64,14,2,0.8571428571428571
21_65,25,2,0.56
21_66,33,2,0.7575757575757576
21_67,39,2,0.9487179487179487
21_8,2,1,0.0
22_10,9,1,0.3333333333333333
22_11,4,1,0.25
22_12,1,1,1.0
22_13,4,1,0.25
22_14,3,1,0.3333333333333333
22_23,3,1,0.3333333333333333
22_25,3,1,0.0
22_26,12,1,0.3333333333333333
22_31,5,1,0.2
22_33,7,1,0.42857142857142855
22_34,1,1,1.0
22_35,1,1,1.0
22_40,2,1,0.5
22_48,22,2,0.36363636363636365
22_49,1,1,1.0
22_54,2,1,1.0
22_55,17,1,0.23529411764705882
22_56,6,1,0.16666666666666666
22_57,6,1,0.8333333333333334
22_58,5,1,0.8
22_59,7,1,0.2857142857142857
22_6,7,2,1.0
22_62,1,1,1.0
22_63,2,2,1.0
22_64,8,2,1.0
22_65,22,2,0.9090909090909091
22_66,26,2,0.9230769230769231
22_67,2,1,0.5
22_9,3,1,0.0
23_11,6,1,0.5
23_12,1,1,0.0
23_14,6,1,0.8333333333333334
23_15,16,1,0.6875
23_17,6,1,1.0
23_19,1,1,0.0
23_27,1,1,0.0
23_28,3,1,0.6666666666666666
23_29,4,1,0.0
23_30,5,1,0.2
23_31,1,1,0.0
23_32,26,1,0.38461538461538464
23_33,1,1,1.0
23_34,4,1,0.5
23_35,14,1,0.42857142857142855
23_36,9,1,0.5555555555555556
23_39,8,1,0.5
23_46,1,1,0.0
23_47,1,1,0.0
23_48,10,1,0.1
23_49,4,1,0.0
23_5,4,1,0.75
23_54,7,1,0.42857142857142855
23_55,58,1,0.43103448275862066
23_56,11,1,0.6363636363636364
23_57,98,1,0.7142857142857143
23_58,7,1,0.7142857142857143
23_59,4,1,0.75
23_62,1,1,0.0
23_63,35,2,0.8857142857142857
23_64,1,1,1.0
23_7,12,3,0.5
23_8,1,1,1.0
24_10,5,1,0.2
24_11,5,2,0.4
24_12,6,2,0.3333333333333333
24_13,12,3,0.16666666666666666
24_14,2,1,0.5
24_15,6,1,0.0
24_17,6,1,0.8333333333333334
24_27,4,1,0.0
24_30,5,1,1.0
24_31,2,1,0.0
24_32,2,1,0.5
24_34,1,1,1.0
24_36,3,1,0.6666666666666666
24_39,1,1,1.0
24_48,3,1,0.0
24_54,89,1,0.4606741573033708
24_55,313,1,0.43130990415335463
24_56,11,1,0.0
24_57,2,1,1.0
24_58,12,1,0.8333333333333334
24_7,3,2,0.6666666666666666
24_9,7,1,0.42857142857142855
25_10,1,1,0.0
25_11,1,1,0.0
25_13,15,3,0.4
25_14,23,3,0.08695652173913043
25_15,175,3,0.38285714285714284
25_16,11,3,0.09090909090909091
25_17,7,2,0.8571428571428571
25_18,2,2,0.5
25_19,12,3,0.25
25_21,2,1,0.0
25_25,2,1,0.0
25_26,3,1,1.0
25_29,4,1,1.0
25_30,1,1,1.0
25_31,6,1,0.0
25_33,5,1,0.2
25_34,3,1,0.6666666666666666
25_35,4,1,0.5
25_37,1,1,1.0
25_38,2,1,0.0
25_39,44,1,0.29545454545454547
25_40,8,1,0.125
25_43,5,1,0.6
25_47,10,1,0.4
25_52,4,1,0.5
25_53,1,1,1.0
25_54,2,1,0.0
25_55,1,1,0.0
25_56,118,1,0.8135593220338984
25_57,3,1,0.6666666666666666
25_9,3,1,0.6666666666666666
26_11,1,1,1.0
26_14,3,1,0.0
26_15,26,4,0.038461538461538464
26_16,14,4,0.42857142857142855
26_21,1,1,0.0
26_22,5,2,0.6
26_23,2,1,0.0
26_24,13,1,0.46153846153846156
26_34,1,1,0.0
26_37,39,1,0.20512820512820512
26_38,2,1,0.5
26_47,2,1,0.5
26_48,4,1,0.25
26_52,23,1,0.21739130434782608
26_53,2,1,0.5
26_56,4,1,0.5
27_21,1,1,0.0
27_22,7,1,0.0
27_24,12,1,0.08333333333333333
27_26,2,1,1.0
27_33,1,1,0.0
27_34,9,1,0.3333333333333333
27_36,6,1,0.8333333333333334
27_37,2,1,0.5
27_40,58,3,0.22413793103448276
27_41,8,1,0.25
